,Entity,lat,lng,standard_names
0,Afghanistan,33.93911,67.709953,Afghanistan
1,Albania,41.153332,20.168331,Albania
2,Algeria,28.033886,1.659626,Algeria
3,Andorra,42.506285,1.521801,Andorra
4,Angola,-11.202692,17.873887,Angola
5,Argentina,-38.416097,-63.61667199999999,Argentina
6,Aruba,12.52111,-69.968338,Aruba
7,Australia,-25.274398,133.775136,Australia
8,Austria,47.516231,14.550072,Austria
9,Azerbaijan,40.143105,47.576927,Azerbaijan
10,Bahrain,26.0667,50.5577,Bahrain
11,Bangladesh,23.684994,90.356331,Bangladesh
12,Barbados,13.193887,-59.543198,Barbados
13,Belarus,53.709807,27.953389,Belarus
14,Belgium,50.503887,4.469936,Belgium
15,Belize,17.189877,-88.49765,Belize
16,Benin,9.30769,2.315834,Benin
17,Bermuda,32.3078,-64.7505,Bermuda
18,Bhutan,27.514162,90.433601,Bhutan
19,Bolivia,-16.290154,-63.58865299999999,Bolivia
20,Bosnia and Herzegovina,43.915886,17.679076,Bosnia and Herzegovina
21,Botswana,-22.328474,24.684866,Botswana
22,Brazil,-14.235004,-51.92528,Brazil
23,Brunei,4.535277,114.727669,Brunei Darussalam
24,Bulgaria,42.733883,25.48583,Bulgaria
25,Burkina Faso,12.238333,-1.561593,Burkina Faso
26,Burundi,-3.373056,29.918886,Burundi
27,Cape Verde,16.5388,-23.0418,Cabo Verde
28,Cambodia,12.565679,104.990963,Cambodia
29,Cameroon,7.369721999999999,12.354722,Cameroon
30,Canada,56.130366,-106.346771,Canada
31,Central African Republic,6.611110999999999,20.939444,Central African Republic
32,Chad,15.454166,18.732207,Chad
33,Chile,-35.675147,-71.542969,Chile
34,China,35.86166,104.195397,China
35,Colombia,4.570868,-74.297333,Colombia
36,Republic of the Congo,-0.228021,15.827659,Congo Republic
37,Costa Rica,9.748916999999999,-83.753428,Costa Rica
38,Côte d'Ivoire,7.539988999999999,-5.547079999999999,Cote d'Ivoire
39,Croatia,45.1,15.2000001,Croatia
40,Cuba,21.521757,-77.781167,Cuba
41,Cyprus,35.126413,33.429859,Cyprus
42,Czechia,49.81749199999999,15.472962,Czech Republic
43,Democratic Republic of the Congo,-4.038333,21.758664,DR Congo
44,Denmark,56.26392,9.501785,Denmark
45,Djibouti,11.825138,42.590275,Djibouti
46,Dominica,15.414999,-61.37097600000001,Dominica
47,Dominican Republic,18.735693,-70.162651,Dominican Republic
48,Ecuador,-1.831239,-78.18340599999999,Ecuador
49,Egypt,26.820553,30.802498,Egypt
50,El Salvador,13.794185,-88.89653,El Salvador
51,Eritrea,15.179384,39.782334,Eritrea
52,Estonia,58.595272,25.0136071,Estonia
53,Eswatini,-26.522503,31.465866,Eswatini
54,Ethiopia,9.145000000000001,40.489673,Ethiopia
55,Faroe Islands,61.89263500000001,-6.9118061,Faeroe Islands
56,Fiji,-17.713371,178.065032,Fiji
