,standard_names,Population (2020),lat,lng,Confirmed,stringency_index,Infection_rate
0,Afghanistan,39074280,33.93911,67.709953,46274.0,42.700514308828005,0.0417%
1,Albania,2877239,41.153332,20.168331,52004.0,55.330056482511445,0.6015%
2,Algeria,43984569,28.033886,1.6596259999999998,94371.0,59.9814435483871,0.0574%
3,Andorra,77287,42.506285,1.521801,7519.0,40.286863799283154,3.5012%
4,Angola,33032075,-11.202692,17.873887,16562.0,57.54110418984056,0.0177%
5,Argentina,45267449,-38.416097,-63.61667199999999,1531374.0,71.19912724014337,0.9188%
6,Australia,25550683,-25.274398,133.775136,27912.0,53.72421407624634,0.0366%
7,Austria,9015361,47.516231,14.550072,282456.0,43.81882573229515,1.9692%
8,Azerbaijan,10154978,40.143105,47.57692700000001,195422.0,64.81764349276976,0.7311%
9,Bahrain,1711057,26.0667,50.5577,89883.0,56.258461284142896,1.1041%
10,Bangladesh,164972348,23.684994,90.356331,498293.0,65.88301971326165,0.0596%
11,Barbados,287437,13.193887,-59.543198,307.0,45.0592128908664,0.0223%
12,Belarus,9448772,53.709807,27.953389,169648.0,13.849461469534056,0.4039%
13,Belgium,11598451,50.503887,4.469936,621039.0,51.15760125448029,2.6795%
14,Belize,398845,17.189877,-88.49765,9791.0,57.269841119762724,0.9871%
15,Benin,12175480,9.30769,2.315834,3491.0,38.033030651340994,0.0079%
16,Bhutan,773069,27.514162,90.433601,443.0,63.28589516129032,0.0160%
17,Bolivia,11700207,-16.290154,-63.588653,149149.0,75.05368279569895,0.3724%
18,Bosnia and Herzegovina,3277152,43.915886,17.679076000000006,104881.0,48.38589605734766,1.1538%
19,Botswana,2359585,-22.328474,24.684866,13014.0,50.94695726495727,0.1738%
20,Brazil,212821986,-14.235004,-51.92528,7162978.0,56.76168727598566,0.5923%
21,Brunei Darussalam,438202,4.535277,114.727669,152.0,38.28270519713262,0.0294%
22,Bulgaria,6939018,42.733883,25.48583,190027.0,40.57462541713016,1.3324%
23,Burkina Faso,20997293,12.238333,-1.561593,4832.0,36.016268817204306,0.0093%
24,Burundi,11948454,-3.373056,29.918886,751.0,11.83505376344086,0.0018%
25,Cabo Verde,557026,16.5388,-23.0418,11526.0,58.504911475713754,0.4971%
26,Cambodia,16758448,12.565679,104.990963,362.0,37.32130376344087,0.0006%
27,Cameroon,26655083,7.3697219999999986,12.354722,25472.0,42.27911379928317,0.0251%
28,Canada,37799407,56.130366,-106.346771,499256.0,53.23195340501794,0.3816%
29,Central African Republic,4843954,6.6111109999999975,20.939444,4936.0,39.59154121863799,0.0564%
30,Chad,16502877,15.454166,18.732207,1839.0,54.709094982078845,0.0043%
31,Chile,19144605,-35.675147,-71.542969,581135.0,62.41647849462367,0.8140%
32,China,1440297825,35.86166,104.195397,6665209.0,68.3918409961686,0.4504%
33,Colombia,50976248,4.570868,-74.297333,1482072.0,63.058106198244964,0.6269%
34,Congo Republic,5540555,-0.228021,15.827659,6200.0,51.503756272401425,0.0381%
35,Costa Rica,5102158,9.748917,-83.753428,157472.0,54.26021214930169,0.6757%
36,Cote d'Ivoire,26486282,7.5399889999999985,-5.547079999999999,43620.0,38.717856630824365,0.0842%
37,Croatia,4100719,45.1,15.2000001,190235.0,42.029851845187466,1.9296%
38,Cuba,11325391,21.521757,-77.78116700000002,9893.0,60.34829171301447,0.0142%
39,Cyprus,1208886,35.126413,33.429859,18131.0,52.80480542754737,0.5128%
40,Czech Republic,10712481,49.81749199999999,15.472962,610006.0,44.91155458134312,2.4676%
41,DR Congo,90003954,-4.0383330000000015,21.758664000000003,15089.0,44.1892882832777,0.0044%
42,Denmark,5795780,56.26392,9.501785,81002.0,44.63061472343008,0.5890%
43,Djibouti,990447,11.825138,42.590275,5780.0,45.54472670250897,0.2287%
44,Dominica,72017,15.414999,-61.37097600000001,88.0,35.82254928315413,0.0486%
45,Dominican Republic,10866667,18.735693,-70.162651,157929.0,63.0276899641577,0.3412%
46,Ecuador,17688599,-1.831239,-78.18340599999998,402468.0,58.51955620723363,0.7990%
47,Egypt,102659126,26.820553000000004,30.802498,124280.0,53.97214157706096,0.0422%
48,El Salvador,6491923,13.794185,-88.89653,42397.0,63.502197132616466,0.1570%
49,Eritrea,3554797,15.179384,39.78233400000001,741.0,67.30252419354838,0.0046%
50,Estonia,1326693,58.595272,25.0136071,20658.0,31.805988799283153,0.6294%
51,Eswatini,1162233,-26.522503000000004,31.465866,7202.0,55.05062498455073,0.1660%
52,Ethiopia,115434444,9.145,40.489673,119025.0,56.41842831541217,0.0300%
53,Fiji,897573,-17.713371,178.065032,46.0,51.240737547892714,0.0014%
54,Finland,5542237,61.92410999999999,25.7481511,47179.0,36.91560894821407,0.2673%
55,France,65298930,46.227638,2.213749,5352449.0,55.22379526634532,3.8312%
56,Gabon,2234448,-0.803689,11.609444,9400.0,59.3696418551477,0.1226%
57,Gambia,2427782,13.443182,-15.310139,6471.0,51.41526412062786,0.2121%
58,Georgia,3987805,32.1656221,-82.9000751,204003.0,59.67983691756272,2.4236%
59,Germany,83830972,51.165691,10.451526,1486839.0,51.202576072178964,0.6419%
60,Ghana,31181428,7.9465270000000015,-1.0231940000000002,53653.0,41.623758064516124,0.0570%
61,Greece,10413936,39.074208,21.824312,129584.0,53.019039920899765,0.6340%
62,Guatemala,17971382,15.783471,-90.23075899999999,132062.0,63.86283960573477,0.1764%
63,Guinea,13191279,9.945587,-9.696645,13511.0,50.12274551971327,0.0168%
64,Guyana,787215,4.860416000000002,-58.93018000000001,6096.0,61.75470325052527,0.2017%
65,Haiti,11426356,18.971187,-72.28521500000002,9648.0,45.51181405265109,0.0337%
66,Honduras,9931333,15.199998999999998,-86.241905,118312.0,73.69887544802866,0.2261%
67,Hungary,9655983,47.162494,19.5033041,295977.0,48.35916280435052,1.4685%
68,Iceland,341628,64.96305100000001,-19.020835,5604.0,39.25144623655914,0.6255%
69,India,1382345085,20.593684,78.96288,9462809.0,62.86949657869013,0.1896%
70,Indonesia,274021604,-0.789275,113.921327,650197.0,54.16391234087258,0.0470%
