standard_names,ISO_2,ISO_3,Population (2020),lat,lng,Confirmed,stringency_index,Infection_rate_f
United States,US,USA,331341050,37.09024,-95.712891,17459296,56.045879826000004,5.27
India,IN,IND,1382345085,20.593684,78.96288,9462809,62.869496579363634,0.68
Brazil,BR,BRA,212821986,-14.235004,-51.92528,7162978,56.7616872755,3.37
China,CN,CHN,1440297825,35.86166,104.195397,6665209,68.39184099583333,0.46
France,FR,FRA,65298930,46.227638,2.213749,5352449,55.223795266916675,8.21
Russia,RU,RUS,145945524,61.52401,105.318756,2764843,50.60099820708333,1.91
Spain,ES,ESP,46757980,40.463667,-3.74922,2246032,55.97555734725,4.8100000000000005
United Kingdom,GB,GBR,67948282,55.378051,-3.435973,2173896,56.88855327191668,3.2
Italy,IT,ITA,60446035,41.87194,12.56738,2159937,58.36423869058333,3.58
Turkey,TR,TUR,84495243,38.963745,35.243322,1982090,53.58508741791666,2.3600000000000003
Nigeria,NG,NGA,206984347,9.081999,8.675277000000001,77013,53.88597939041666,0.03
Uzbekistan,UZ,UZB,33551824,41.377491,64.585262,75675,50.96837455208333,0.22
Malaysia,MY,MYS,32436963,4.210483999999999,101.975766,65697,52.726719453,0.21
Singapore,SG,SGP,5858322,1.352083,103.819836,58386,49.63441750166667,0.98
Ghana,GH,GHA,31181428,7.9465270000000015,-1.0231940000000002,53653,41.623758064583335,0.18000000000000002
Albania,AL,ALB,2877239,41.153332,20.168331,52004,55.330056481999996,1.81
Luxembourg,LU,LUX,627704,49.815273,6.129583,51656,43.1602777775,8.22
South Korea,KR,KOR,51276977,35.90775700000001,127.766922,48570,47.322043855749996,0.1
Finland,FI,FIN,5542237,61.92411,25.7481511,47179,36.91560894783333,0.8500000000000001
Afghanistan,AF,AFG,39074280,33.93911,67.709953,46274,42.70051430890909,0.11
Barbados,BB,BRB,287437,13.193887,-59.543198,307,45.05921289066666,0.1
Seychelles,SC,SYC,98453,-4.679574,55.491977,202,33.86058595916668,0.2
Monaco,MC,MCO,39290,43.73841760000001,7.4246158,154,54.18619855362501,0.39
Brunei Darussalam,BN,BRN,438202,4.535277,114.727669,152,38.282705197583326,0.03
Dominica,DM,DMA,72017,15.414999,-61.370976,88,35.82254928308334,0.12
Fiji,FJ,FJI,897573,-17.713371,178.065032,46,51.24073754650001,0.0
Laos,LA,LAO,7293542,19.85627,102.495496,41,34.86785842333334,0.0
Timor-Leste,TL,TLS,1322667,-8.874217,125.727539,31,31.385058923083328,0.0
Solomon Islands,SB,SLB,689671,-9.64571,160.156194,17,31.102298170250005,0.0
Vanuatu,VU,VUT,308337,-15.376706,166.959158,1,38.58962365666667,0.0
