standard_names,month,year,Confirmed,stringency_index,lat,lng,Population (2020),Infection_rate
Afghanistan,12,2020,3347.0,,33.93911,67.709953,39074280,0.0086%
Australia,12,2020,214.0,,-25.274398,133.775136,25550683,0.0008%
Austria,12,2020,52457.0,,47.516231,14.550072,9015361,0.5819%
Denmark,12,2020,47872.0,,56.26392,9.501785,5795780,0.8260%
Ecuador,12,2020,12318.0,,-1.8312389999999998,-78.18340599999998,17688599,0.0696%
India,12,2020,541790.0,,20.593684,78.96288,1382345085,0.0392%
Lesotho,12,2020,437.0,,-29.609988,28.233608,2145194,0.0204%
Malaysia,12,2020,25119.0,,4.210483999999999,101.97576600000001,32436963,0.0774%
Monaco,9,2020,218.0,,43.73841760000001,7.424615799999999,39290,0.5548%
Monaco,10,2020,141.0,,43.73841760000001,7.424615799999999,39290,0.3589%
Monaco,11,2020,250.0,,43.73841760000001,7.424615799999999,39290,0.6363%
Monaco,12,2020,106.0,,43.73841760000001,7.424615799999999,39290,0.2698%
Netherlands,12,2020,143037.0,,52.132633,5.2912659999999985,17141544,0.8344%
Papua New Guinea,12,2020,104.0,,-6.3149929999999985,143.95555,8975531,0.0012%
Taiwan,12,2020,84.0,,23.69781,120.96051499999999,23824369,0.0004%
Ukraine,12,2020,218415.0,,48.379433,31.1655799,43686577,0.5000%
Yemen,12,2020,2279.0,,15.552726999999999,48.516388,29935468,0.0076%
