,standard_names,month,year,Confirmed,stringency_index,lat,lng,Population (2020),Infection_rate
0,Afghanistan,1,2020,0.0,0.0,33.93911,67.709953,39074280,0.0000%
1,Afghanistan,2,2020,1.0,2.0106896551724143,33.93911,67.709953,39074280,0.0000%
2,Afghanistan,3,2020,174.0,40.831935483870936,33.93911,67.709953,39074280,0.0004%
3,Afghanistan,4,2020,1952.0,80.74000000000005,33.93911,67.709953,39074280,0.0050%
4,Afghanistan,5,2020,13081.0,84.26000000000005,33.93911,67.709953,39074280,0.0335%
5,Afghanistan,6,2020,16299.0,80.18266666666666,33.93911,67.709953,39074280,0.0417%
6,Afghanistan,7,2020,5158.0,78.69999999999997,33.93911,67.709953,39074280,0.0132%
7,Afghanistan,8,2020,1494.0,55.40870967741937,33.93911,67.709953,39074280,0.0038%
8,Afghanistan,9,2020,1109.0,23.52000000000001,33.93911,67.709953,39074280,0.0028%
9,Afghanistan,10,2020,2157.0,16.460322580645173,33.93911,67.709953,39074280,0.0055%
10,Afghanistan,11,2020,4849.0,7.5913333333333375,33.93911,67.709953,39074280,0.0124%
12,Albania,1,2020,0.0,0.0,41.153332,20.168331,2877239,0.0000%
13,Albania,2,2020,0.0,3.5451724137931038,41.153332,20.168331,2877239,0.0000%
14,Albania,3,2020,243.0,58.57096774193547,41.153332,20.168331,2877239,0.0084%
15,Albania,4,2020,530.0,86.66499999999998,41.153332,20.168331,2877239,0.0184%
16,Albania,5,2020,364.0,87.4216129032258,41.153332,20.168331,2877239,0.0127%
17,Albania,6,2020,1398.0,70.46599999999998,41.153332,20.168331,2877239,0.0486%
18,Albania,7,2020,2741.0,63.856774193548404,41.153332,20.168331,2877239,0.0953%
19,Albania,8,2020,4237.0,58.12548387096777,41.153332,20.168331,2877239,0.1473%
20,Albania,9,2020,4136.0,54.63000000000004,41.153332,20.168331,2877239,0.1437%
21,Albania,10,2020,7226.0,54.630000000000045,41.153332,20.168331,2877239,0.2511%
22,Albania,11,2020,17307.0,60.30966666666667,41.153332,20.168331,2877239,0.6015%
23,Albania,12,2020,13822.0,65.74,41.153332,20.168331,2877239,0.4804%
24,Algeria,1,2020,0.0,0.0,28.033886,1.6596259999999998,43984569,0.0000%
25,Algeria,2,2020,1.0,0.0,28.033886,1.6596259999999998,43984569,0.0000%
26,Algeria,3,2020,715.0,37.48612903225806,28.033886,1.6596259999999998,43984569,0.0016%
27,Algeria,4,2020,3290.0,86.15533333333332,28.033886,1.6596259999999998,43984569,0.0075%
28,Algeria,5,2020,5388.0,77.56677419354834,28.033886,1.6596259999999998,43984569,0.0122%
29,Algeria,6,2020,4513.0,70.55433333333333,28.033886,1.6596259999999998,43984569,0.0103%
30,Algeria,7,2020,16487.0,72.54838709677419,28.033886,1.6596259999999998,43984569,0.0375%
31,Algeria,8,2020,14100.0,79.98903225806457,28.033886,1.6596259999999998,43984569,0.0321%
32,Algeria,9,2020,7036.0,75.93000000000002,28.033886,1.6596259999999998,43984569,0.0160%
33,Algeria,10,2020,6412.0,75.63000000000002,28.033886,1.6596259999999998,43984569,0.0146%
34,Algeria,11,2020,25257.0,71.69733333333333,28.033886,1.6596259999999998,43984569,0.0574%
35,Algeria,12,2020,11172.0,72.22000000000001,28.033886,1.6596259999999998,43984569,0.0254%
36,Andorra,1,2020,0.0,0.0,42.506285,1.521801,77287,0.0000%
37,Andorra,2,2020,0.0,0.0,42.506285,1.521801,77287,0.0000%
